#class tools::histo::h1d
#title depositedEnergy
#dimension 1
#axis fixed 20 50 60
#annotation axis_x.title 
#bin_number 22
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
1,17646.1,3.11386e+08,886718,4.45576e+07
1,2317.07,5.36881e+06,117591,5.96775e+06
1,35164,1.23651e+09,1.80216e+06,9.23605e+07
1,6095.3,3.71527e+07,315432,1.63236e+07
1,9604.17,9.22401e+07,501818,2.622e+07
1,1576.03,2.48389e+06,83135.8,4.38542e+06
1,36384.1,1.3238e+09,1.93745e+06,1.03169e+08
1,3537.15,1.25114e+07,190122,1.02191e+07
1,32088.2,1.02965e+09,1.74078e+06,9.44376e+07
0,0,0,0,0
1,18899.7,3.57199e+08,1.04421e+06,5.76926e+07
1,3010.01,9.06016e+06,167808,9.3553e+06
1,17648.9,3.11485e+08,992752,5.58423e+07
0,0,0,0,0
1,1621.12,2.62802e+06,92809,5.31332e+06
0,0,0,0,0
1,514.787,265005,29986.3,1.7467e+06
0,0,0,0,0
1,2566.55,6.58716e+06,152068,9.01002e+06
0,0,0,0,0
0,0,0,0,0
